Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Annual_CTC_LPA,Comp_Ratio,Overwork_Strain,Role_Friction
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,15.28215,0.9618038838067725,2.0,1.0
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,13.0815,1.7766233766233765,8.0,1.4
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,5.3295,0.7241857241857242,4.0,1.2
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,7.41795,1.0074458874458874,6.0,1.4
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,8.8434,1.2016632016632018,2.0,1.2
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,7.8234,1.063063063063063,2.0,1.2
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,6.8085,0.9251559251559252,6.0,1.2
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,6.86715,0.9331254331254331,24.0,1.2
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,24.2913,1.4775864743291454,23.0,1.2
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,13.35435,0.7689032447511379,27.0,1.2
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,6.1863,0.8406098406098406,16.0,1.2
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,10.69215,1.4528759528759527,30.0,1.2
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,7.42305,1.008138528138528,26.0,1.4
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,6.78555,0.922037422037422,19.0,1.2
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,5.1714,0.7027027027027027,48.0,1.2
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,25.449,1.5480068248797891,21.0,1.2
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,8.4099,1.1421645021645022,10.0,1.4
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,7.48425,1.016978516978517,32.0,1.2
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,39.33885,0.8838408433355296,2.0,1.8
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,10.0572,1.365887445887446,4.0,1.4
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,10.22805,0.6221498371335504,11.0,1.2
